,date,under30,v30to59,over60
160,16/05/2021,1802215,15514205,13072928
161,17/05/2021,1808851,15586618,13074413
162,18/05/2021,1827490,15720492,13076658
163,19/05/2021,1858460,15924288,13079743
164,20/05/2021,1889030,16126103,13083306
165,21/05/2021,1909350,16293907,13085942
166,22/05/2021,1928403,16456076,13088714
167,23/05/2021,1938444,16547624,13089938
168,24/05/2021,1943745,16628031,13091430
169,25/05/2021,1964000,16761552,13093839
170,26/05/2021,1995171,16933373,13096508
171,27/05/2021,2026809,17127029,13107285
172,28/05/2021,2045794,17280070,13111438
173,29/05/2021,2064937,17416639,13114151
174,30/05/2021,2075049,17502389,13115900
175,31/05/2021,2089997,17554847,13117459
176,01/06/2021,2099847,17614117,13119489
177,02/06/2021,2126957,17713502,13121846
178,03/06/2021,2161781,17833263,13123709
179,04/06/2021,2196337,17943166,13125189
180,05/06/2021,2248297,18065774,13126722
181,06/06/2021,2275018,18135897,13127469
182,07/06/2021,2292874,18199527,13128335
183,08/06/2021,2326065,18268157,13129432
184,09/06/2021,2393114,18340069,13130725
